[0mCHECKING: 0[0m
Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [0    ] The Void                                     (3001)
   2) [1    ] Limbo                                        
  69) [168  ] Dark passage                                 
  70) [169  ] Cellar                                       
  71) [170  ] Cellar                                       
  72) [171  ] Cellar                                       
  73) [172  ] Storage room                                 
  74) [173  ] Cellar                                       
  75) [174  ] Cellar                                       
  76) [175  ] Cellar                                       
  77) [176  ] Kitchen                                      

>[0;00m
[0mCHECKING: 2[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [200  ] Implementors' Business Office                (1011)
   2) [201  ] Lucincia's Chamber                           
   3) [202  ] Onivel and Moonbeam's Private Office         
   4) [203  ] Kailyn's Sanctuary                           
   5) [204  ] Doc's Office                                 
   6) [205  ] Free From Distraction                        
   7) [206  ] A Haven for Wenches                          
   8) [207  ] Kaeli's Mountainside                         
   9) [208  ] Strawberry Fields                            
  10) [209  ] The Great Hall of Cogitasne                  
  11) [210  ] JMON's Bar and Grill                         
  12) [211  ] Shanny's Rib Shack                           
  13) [212  ] Val's Mountain Cabin                         
  14) [213  ] The Stateroom in the Beagle                  
  15) [214  ] Triana's Stellar Fragment                    
  16) [215  ] Cat's Island                                 
  17) [216  ] A Cozy Library                               
  18) [217  ] Hall of the Dark Lord                        
  19) [218  ] The Haven                                    
  20) [219  ] The Realm of the Builder                     
  21) [220  ] Heart of the God Complex                     
  22) [221  ] Board Room of the Immortals                  
  23) [222  ] Lower Board Room of the Immortals            
  24) [223  ] Social Board Room of the Immortals           
  25) [224  ] Immortal Ice Box                             (3001)
  26) [225  ] A Garden in a Grand Corridor                 
  27) [226  ] A Vineyard in a Grand Corridor               
  28) [227  ] An Arboretum in a Grand Corridor             
  29) [228  ] A Courtyard in a Grand Corridor              
  30) [229  ] The End of the North Corridor                
  31) [230  ] The End of the East Corridor                 
  32) [231  ] The End of the South Corridor                
  33) [232  ] The End of the West Corridor                 
  34) [233  ] A Corner Lounge                              
  35) [234  ] A Corner Lounge                              
  36) [235  ] A Corner Lounge                              
  37) [236  ] A Corner Lounge                              
  38) [237  ] A Chat Room                                  
  39) [238  ] A Chat Room                                  
  40) [239  ] A Chat Room                                  
  41) [240  ] A Chat Room                                  
  42) [241  ] A Cat Room                                   
  43) [242  ] A Chat Room                                  
  44) [243  ] A Chat Room                                  
  45) [244  ] A Chat Room                                  
  46) [245  ] A Chat Room                                  
  47) [246  ] Tinker Tailor Soldier Spy                    [TRIG] 
  48) [247  ] A Drifting, Spiral Ascent                    
  49) [248  ] A Drifting, Spiral Ascent                    
  50) [249  ] A Drifting, Spiral Ascent                    
  51) [250  ] A Drifting, Spiral Ascent                    
  52) [251  ] A Drifting, Spiral Ascent                    
  53) [252  ] A Drifting, Spiral Ascent                    
  54) [253  ] Althea's Room                                
  55) [254  ] Evening at the Folies-Bergere                
  56) [255  ] The Fall of Man -- Throne Room of JackyBlaque 
  57) [256  ] In a Dinky Apartment                         
  58) [257  ] Mandy's Room                                 
  59) [258  ] Myst's Forest Hideaway                       
  60) [259  ] Nightmare's Place                            
  61) [260  ] Pythe's A to D room                          
  62) [261  ] The Mosh Pit                                 
  63) [262  ] Stormblade's Sanctum                         (3001)(2112)(12206)
  64) [263  ] The Obsidian Tower                           
  65) [264  ] The Shoe Box                                 
  66) [265  ] MOSHING Team HQ                              
  67) [266  ] The Montreal Canadien's Locker Room          
  68) [267  ] Zooropa's Music Store                        
  69) [268  ] On the Quad                                  
  70) [269  ] The Realm of Silence                         
  71) [270  ] A Drifting, Spiral Ascent                    
  72) [271  ] Crank's Rock'n Bedroom                       
  73) [272  ] Lost by Moonlight                            
  74) [273  ] Nalia's Design Studio                        
  75) [274  ] The Surveillance Center                      
  76) [275  ] Conseq's Office                              
  77) [276  ] The Queen's Bedchamber                       
  78) [277  ] The Antechamber                              
  79) [278  ] The Coffeehouse                              
  80) [279  ] Inside the folds of a dark cloak             
  81) [280  ]  Spiritwalker's Dreamchamber                 
  82) [281  ] The Garden of Eden                           
  83) [282  ] The Shadows                                  (18156)
  84) [283  ] Byson's Room                                 
  85) [284  ] Jo's Chambers                                
  86) [285  ] El Estudio del Famoso Maestro de Ilusion     
  87) [286  ] The Beach                                    
  88) [287  ] Loehbech's Chamber of Sexual Assistance      
  89) [288  ] Warrim's Featureless Cavern                  
  90) [289  ] Charis' Haven                                (25000)(18000)
  91) [290  ] Nix's Liquor Store & More                    
  92) [291  ] Pils's Brewery and Poutine House             
  93) [292  ] Cow Creek Ridge Cabin                        
  94) [293  ] A cloud of blue smoke                        
  95) [294  ] Ciara's Tower                                
  96) [295  ] Sweety's Boom Box                            
  97) [296  ] Tam's Tomb                                   
  98) [297  ] Fortress of Solitude                         
  99) [298  ] Ego's Library                                
 100) [299  ] Umi's Hideout                                

>[0;00m
[0mCHECKING: 3[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [300  ] Entrance to the Crystal Caves                
   2) [301  ] Crystal Cave                                 
   3) [302  ] Crystal Cave                                 
   4) [303  ] Crystal Cave                                 
   5) [304  ] Center of Cave                               
   6) [305  ] Crystal Cave                                 
   7) [306  ] Crystal Cave                                 
   8) [307  ] Crystal Cave                                 
   9) [308  ] Crystal Cave                                 
  10) [309  ] Crystal Cave                                 
  11) [310  ] Small Chamber                                
  12) [311  ] Small Chamber                                
  13) [312  ] Small Chamber                                
  14) [313  ] Small Chamber                                
  15) [314  ] End of the tunnel                            
  16) [315  ] T-Junction                                   
  17) [316  ] Another Branch                               
  18) [317  ] A turn in the tunnel                         
  19) [318  ] U-Turn                                       
  20) [319  ] Circular Chamber                             
  21) [320  ] Rainbow Cavern                               
  22) [321  ] Rainbow Cavern                               
  23) [322  ] Rainbow Cavern                               
  24) [323  ] Rainbow Cavern                               
  25) [324  ] Three-way Intersection                       
  26) [325  ] Middle Of A Long Tunnel                      
  27) [326  ] East Along The Long Tunnel                   
  28) [327  ] Dead End                                     
  29) [328  ] A Bend In The Tunnel                         
  30) [329  ] A Short Tunnel                               
  31) [330  ] Another Turn                                 
  32) [331  ] Twisting Tunnel                              
  33) [332  ] Yet Another Turn                             
  34) [333  ] Carved Chamber                               
  35) [334  ] Jeweled Antechamber                          
  36) [335  ] Four-Way Corridor                            
  37) [336  ] Guard Room                                   
  38) [337  ] Great Crystal Hall                           
  39) [338  ] North Side Chamber                           
  40) [339  ] South Side Chamber                           
  41) [340  ] Armory Chamber                               

>[0;00m
[0mCHECKING: 4[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [400  ] A Littered Road                              
   2) [401  ] A Littered Road                              
   3) [402  ] Parking Lot                                  
   4) [403  ] Parking Lot                                  
   5) [404  ] Parking Lot                                  
   6) [405  ] Parking Lot                                  
   7) [406  ] Outside the Factory                          
   8) [407  ] Entrance Area                                
   9) [408  ] Lounge                                       
  10) [409  ] Hall                                         
  11) [410  ] Hall                                         
  12) [411  ] Cubicles                                     
  13) [412  ] Hall                                         
  14) [413  ] Cubicles                                     
  15) [414  ] Main Office                                  
  16) [415  ] Closet                                       
  17) [416  ] Lavatory                                     
  18) [417  ] A Big Office                                 
  19) [418  ] Employees' Lounge                            
  20) [419  ] Work Floor                                   
  21) [420  ] Work Floor                                   
  22) [421  ] Work Floor                                   
  23) [422  ] Work Floor                                   
  24) [423  ] Work Floor                                   
  25) [424  ] Work Floor                                   
  26) [425  ] Work Floor                                   
  27) [426  ] Work Floor                                   
  28) [427  ] Machine Room                                 
  29) [428  ] Machine Room                                 
  30) [429  ] Machine Room                                 
  31) [430  ] Welcome to the Machine                       
  32) [431  ] Catwalks                                     
  33) [432  ] Catwalks                                     
  34) [433  ] Catwalks                                     
  35) [434  ] Catwalks                                     
  36) [435  ] Access Road                                  
  37) [436  ] Access Road                                  
  38) [437  ] Dock Area                                    
  39) [438  ] Warehouse Room                               

>[0;00m
[0mCHECKING: 5[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [500  ] The Cathedral Courtyard                      
   2) [501  ] The Cathedral Entrance                       
   3) [502  ] An Alcove                                    
   4) [503  ] An Alcove                                    
   5) [504  ] The Aisle Of Pews                            
   6) [505  ] The Worship Hall                             
   7) [506  ] The Confessional                             
   8) [507  ] The Confessional                             
   9) [508  ] The High Pews                                
  10) [509  ] At The Altar                                 
  11) [510  ] The Clergical Chambers                       
  12) [511  ] The Inner Sanctum                            
  13) [512  ] A Spiral Stairway                            
  14) [513  ] A Spiral Stairway                            
  15) [514  ] A Gaping Chasm in the Spiral Stairway        
  16) [515  ] The Bell Tower                               
  17) [516  ] A Spiral Stairway                            
  18) [517  ] The Bell Tower                               
  19) [518  ] The Bell Room                                
  20) [519  ] The Cloister Hall                            
  21) [520  ] The End Of The Dark Hall                     
  22) [521  ] A Monk's Room                                
  23) [522  ] The Abbott's Room                            
  24) [523  ] A Cloistered Hall                            
  25) [524  ] A Monk's Room                                
  26) [525  ] A Monk's Room                                
  27) [526  ] A Cloistered Hall                            
  28) [527  ] A Cloistered Hall                            
  29) [528  ] A Nun's Room                                 
  30) [529  ] A Nun's Room                                 
  31) [530  ] A Nun's Room                                 
  32) [531  ] Mother Superior's Room                       
  33) [532  ] A Crypt                                      
  34) [533  ] A Crypt                                      
  35) [534  ] A Crypt                                      
  36) [535  ] A Crypt                                      
  37) [536  ] A Crypt                                      
  38) [537  ] A Crypt                                      
  39) [538  ] A Crypt                                      
  40) [539  ] A Crypt                                      
  41) [540  ] A Crypt                                      
  42) [541  ] The Antechamber                              
  43) [542  ] The Inner Crypt                              
  44) [543  ] The Inner Crypt                              
  45) [544  ] The Inner Crypt                              
  46) [545  ] The Inner Crypt                              
  47) [546  ] The Inner Crypt                              
  48) [547  ] The Inner Crypt                              
  49) [548  ] The Tomb Of Princess Evalynn                 
  50) [549  ] The Large Cavern                             
  51) [550  ] A Bottomless Pit                             
  52) [551  ] Down The Bottomless Pit                      
  53) [552  ] Falling Down The Bottomless Pit              
  54) [553  ] Above The Molten Lava                        
  55) [554  ] Burnt Alive In The Molten Lava               
  56) [555  ] An Old Stone Road                            (23209)

>[0;00m
[0mCHECKING: 6[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [600  ] Deadwood Forest                              
   2) [601  ] Forest trail                                 (4031)
   3) [602  ] A small meadow                               
   4) [603  ] A trail                                      
   5) [604  ] Deadwood Forest                              
   6) [605  ] The Basin                                    
   7) [606  ] The Icy Trail                                
   8) [607  ] The Crevice                                  
   9) [608  ] Beyond the Roots                             
  10) [609  ] The Cool Room...                             
  11) [610  ] Another ice cave                             
  12) [611  ] Another ice cave                             
  13) [612  ] The lava pool                                
  14) [613  ] Stair room                                   
  15) [614  ] Ice plant cave                               
  16) [615  ] Bright cave.                                 
  17) [616  ] Foggy cave                                   
  18) [617  ] It is pitch black.                           
  19) [618  ] The Lair of The Purple Dragon                
  20) [619  ] Animal cave                                  
  21) [620  ] The Purple Dragon's Waiting room             
  22) [621  ] Ice cavern                                   
  23) [622  ] Snow cave                                    
  24) [623  ] Computer Center                              
  25) [624  ] Entrance to the penguin lair                 
  26) [625  ] The Lair of the Great and Terrible Empire Penguin. 
  27) [626  ] Ice Pool                                     
  28) [627  ] Purple Dragon treasure room                  
  29) [628  ] Do Not Enter... Death Trap                   
  30) [629  ] Surreal Path                                 
  31) [630  ] Under the tree                               
  32) [631  ] The Secret Room                              
  33) [632  ] The passage end                              
  34) [633  ] Narrow Corridor                              
  35) [634  ] Silver cave                                  
  36) [635  ] Snow Cave                                    
  37) [636  ] Tunnel's End                                 
  38) [637  ] Ice Cavern                                   
  39) [638  ] A small passage bend                         
  40) [639  ] Narrow passage through the ice               
  41) [640  ] The Large Tunnel                             
  42) [641  ] Bend                                         
  43) [642  ] 3 way junction                               
  44) [643  ] Large Tunnel                                 
  45) [644  ] The tunnel                                   
  46) [645  ] Lair Entrance                                
  47) [646  ] Xenia's cave                                 
  48) [647  ] Tunnel Bend                                  
  49) [648  ] Tunnel                                       
  50) [649  ] Tunnel Bend                                  
  51) [650  ] Bend in the snowy passage                    
  52) [651  ] Large Caverns                                
  53) [652  ] The Bend                                     
  54) [653  ] Dead End                                     (3401)
  55) [654  ] Glass Maze                                   
  56) [655  ] Treasure Room                                
  57) [656  ] Overlook                                     
  58) [657  ] The Icy Ledge                                
  59) [658  ] Top of the Hill                              
  60) [659  ] The Northwest End of the Valley              
  61) [660  ] The T Crossing                               
  62) [661  ] The End of the Path                          
  63) [662  ] The L in the Ice Path                        
  64) [663  ] Ice Path                                     
  65) [664  ] A Turn in the Path                           
  66) [665  ] The mouth of a Cave                          
  67) [666  ] Bottom of the Valley                         
  68) [667  ] The Middle of the Path                       
  69) [668  ] North of a Rocky Path                        
  70) [669  ] The Ice Path                                 
  71) [670  ] The Light Brush                              
  72) [671  ] An Icy Cave                                  
  73) [672  ] Blind Spot                                   
  74) [673  ] Rocky Path                                   
  75) [674  ] A Rocky Overhang                             
  76) [675  ] Start of the Ice Path                        
  77) [676  ] Uncle Tom's Cabin                            
  78) [677  ] The Dark Forest                              
  79) [678  ] The Dark Forest                              
  80) [679  ] The Dark Forest                              
  81) [680  ] Dark Tunnel                                  
  82) [681  ] The Ledge                                    
  83) [682  ] Deadwood Forest                              (18500)
  84) [683  ] Deadwood Forest                              
  85) [684  ] Forest Trail                                 (10049)
  86) [685  ] A Dark Junction                              
  87) [686  ] The Yawning Portal                           
  88) [687  ] Forest Glen                                  
  89) [688  ] Deadwood Forest                              
  90) [689  ] Frail Path                                   
  91) [690  ] Deadwood Forest                              
  92) [691  ] Deadwood Forest                              
  93) [692  ] Forest Trail                                 
  94) [693  ] Deadwood Forest                              
  95) [694  ] Frail Path                                   
  96) [695  ] Forest Trail                                 
  97) [696  ] Deadwood Forest                              
  98) [697  ] Deadwood Forest                              
  99) [698  ] Above Ground                                 
 100) [699  ] ICEolation Chamber                           

>[0;00m
[0mCHECKING: 7[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [701  ] Inside a Lambda class Imperial shuttle       (1223)
   2) [702  ] Inside a Lambda class Imperial shuttle       
   3) [703  ] inside a Lambda class Imperial shuttle       
   4) [704  ] inside a Lambda class Imperial shuttle       
   5) [705  ] inside a Lambda class Imperial shuttle       
   6) [706  ] inside a Lambda class Imperial shuttle       
   7) [707  ] inside a Lambda class Imperial shuttle       
   8) [708  ] inside a Lambda class Imperial shuttle       
   9) [709  ] inside a Lambda class Imperial shuttle       
  10) [710  ] inside a Lambda class Imperial shuttle       
  11) [711  ] inside a Lambda class Imperial shuttle       
  12) [712  ] inside a Lambda class Imperial shuttle       
  13) [713  ] inside a Lambda class Imperial shuttle       
  14) [714  ] inside a Lambda class Imperial shuttle       
  15) [715  ] inside a Lambda class Imperial shuttle       
  16) [716  ] inside a Lambda class Imperial shuttle       
  17) [717  ] inside a Lambda class Imperial shuttle       
  18) [718  ] inside a Lambda class Imperial shuttle       
  19) [719  ] inside a Lambda class Imperial shuttle       
  20) [720  ] inside a Lambda class Imperial shuttle       
  21) [721  ] Inside an Escape Pod                         (1270)
  22) [800  ] The Vault of Time                            
  23) [895  ] inside a destroyed shuttle a drift in space  [TRIG] 
  24) [896  ] inside a destroyed shuttle a drift in space  [TRIG] 
  25) [897  ] inside a destroyed shuttle a drift in space  [TRIG] 
  26) [898  ] inside a destroyed shuttle a drift in space  [TRIG] 
  27) [899  ] Inside a destroyed shuttle adrift in space   [TRIG] 

>[0;00m
[0mCHECKING: 9[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [900  ] On The Swift Flowing River                   (6152)
   2) [901  ] The Riverbank                                
   3) [902  ] The Twisty Part of the River                 
   4) [903  ] The Scenic Route                             
   5) [904  ] The Swift River Delta                        
   6) [905  ] Near the Rocks                               
   7) [906  ] The South River Delta                        
   8) [907  ] The Pier                                     
   9) [908  ] Mired In Seaweed                             
  10) [909  ] The Last Stop                                
  11) [910  ] The Beach Head                               
  12) [911  ] The North Channel                            
  13) [912  ] The North Channel                            
  14) [913  ] Near the Isle                                
  15) [914  ] The Lane of the Lying                        
  16) [915  ] The First Trial of Minos                     
  17) [916  ] The Second Trial of Minos                    
  18) [917  ] The Third Trial of Minos                     
  19) [918  ] The Fourth Trial of Minos                    
  20) [919  ] The Fifth Trial of Minos                     
  21) [920  ] The Sixth Trial of Minos                     
  22) [921  ] The Final Trial of Minos                     
  23) [922  ] The Royal Chamber                            
  24) [923  ] Above, On The Beach                          
  25) [924  ] SMASHED against the cliff!!                  
  26) [925  ] The Sea of Dreams                            
  27) [926  ] The Sea of Dreams                            
  28) [927  ] The Sea of Dreams                            
  29) [928  ] The Sea of Dreams                            
  30) [929  ] The Sea of Dreams                            
  31) [930  ] The Sea of Dreams                            
  32) [931  ] The Sea of Dreams                            
  33) [932  ] The Sea of Dreams                            
  34) [933  ] The Sea of Dreams                            
  35) [934  ] The Sea of Dreams                            
  36) [935  ] The Sea of Dreams                            
  37) [936  ] The Sea of Dreams                            
  38) [937  ] The Sea of Dreams                            
  39) [938  ] The Sea of Dreams                            
  40) [939  ] The Sea of Dreams                            
  41) [940  ] The Sea of Dreams                            
  42) [941  ] The Sea of Dreams                            
  43) [942  ] The Sea of Dreams                            
  44) [943  ] The Sea of Dreams                            
  45) [944  ] The Sea of Dreams                            
  46) [945  ] The Sea of Dreams                            
  47) [946  ] The Sea of Dreams                            
  48) [947  ] The Sea of Dreams                            
  49) [948  ] The Sea of Dreams                            
  50) [949  ] The Sea of Dreams                            
  51) [950  ] The Sea of Dreams                            
  52) [951  ] The Sea of Dreams                            
  53) [952  ] The Sea of Dreams                            
  54) [953  ] The Sea of Dreams                            
  55) [954  ] The Sea of Dreams                            
  56) [955  ] The Sea of Dreams                            
  57) [956  ] The Sea of Dreams                            
  58) [957  ] The Sea of Dreams                            
  59) [958  ] The Sea of Dreams                            
  60) [959  ] The Sea of Dreams                            
  61) [960  ] The Sea of Dreams                            
  62) [961  ] The Sea of Dreams                            
  63) [962  ] The Sea of Dreams                            
  64) [963  ] The Sea of Dreams                            
  65) [964  ] The Sea of Dreams                            
  66) [965  ] The Sea of Dreams                            
  67) [966  ] The Sea of Dreams                            
  68) [967  ] The Sea of Dreams                            
  69) [968  ] The Sea of Dreams                            
  70) [969  ] The Sea of Dreams                            
  71) [970  ] The Sea of Dreams                            
  72) [971  ] The Sea of Dreams                            
  73) [972  ] The Sea of Dreams                            
  74) [973  ] The Sea of Dreams                            
  75) [974  ] The Sea of Dreams                            
  76) [975  ] The Sea of Dreams                            
  77) [976  ] The Sea of Dreams                            
  78) [977  ] The Sea of Dreams                            
  79) [978  ] The Sea of Dreams                            
  80) [979  ] The Sea of Dreams                            
  81) [980  ] The Sea of Dreams                            
  82) [981  ] The Sea of Dreams                            
  83) [982  ] The Sea of Dreams                            
  84) [983  ] The Sea of Dreams                            
  85) [984  ] The Sea of Dreams                            
  86) [985  ] The Sea of Dreams                            
  87) [986  ] At the Cave Entrance                         
  88) [987  ] The Sea of Dreams                            
  89) [988  ] On a stone staircase                         
  90) [989  ] The Throne of Kings                          
  91) [990  ] The Sea of Dreams                            
  92) [991  ] The Sea of Dreams                            
  93) [992  ] The Sea of Dreams                            
  94) [993  ] The Sea of Dreams                            
  95) [994  ] The Sea of Dreams                            
  96) [995  ] The Sea of Dreams                            
  97) [996  ] The Realm of the Lost                        
  98) [997  ] The Realm of the Lost                        
  99) [998  ] The Realm of the Lost                        
 100) [999  ] The Realm of the Lost                        

>[0;00m
[0mCHECKING: 10[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [1000 ] Inside the belly of a huge creature          (220)(200)(3001)
   2) [1001 ] The Circus of the Bizarre                    (220)(219)
   3) [1002 ] Atop a Wind-Swept Mesa                       
   4) [1003 ] Cosmo's Cavern                               
   5) [1004 ] The Silver Garden                            
   6) [1005 ] The X-Wing Fighter                           
   7) [1006 ] A strange clearing in the mystical forest    
   8) [1007 ] The Construct                                
   9) [1010 ] The Pit of Despair                           
  10) [1011 ] Platform 9 3/4                               (200)

>[0;00m
[0mCHECKING: 11[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [1100 ] A path through the northern forest           (3901)(15400)
   2) [1101 ] A path through the light forest              
   3) [1102 ] A small path                                 
   4) [1103 ] Entrance to the Shire                        
   5) [1104 ] Bywater Road                                 
   6) [1105 ] The General Store                            
   7) [1106 ] Bywater Road                                 
   8) [1107 ] The House of Arms                            
   9) [1108 ] Kid'n Keep                                   
  10) [1109 ] A bend in the road                           
  11) [1110 ] Shiriff Post of the Eastern Shire            
  12) [1111 ] Thain's Office                               
  13) [1112 ] Bywater Road                                 
  14) [1113 ] Bywater Road                                 
  15) [1114 ] A smial                                      
  16) [1115 ] A smial                                      
  17) [1116 ] The Ivy Bush                                 
  18) [1117 ] Shiriff Training Grounds                     
  19) [1118 ] Bywater Road                                 
  20) [1119 ] Shiriff Post of the Bridge                   
  21) [1120 ] Bywater Road                                 
  22) [1121 ] The Grocer's Delight                         
  23) [1122 ] Bywater Road                                 
  24) [1123 ] Entrance to Watermill                        
  25) [1124 ] The Watermill                                
  26) [1125 ] Rear of watermill                            
  27) [1126 ] Took Hill                                    
  28) [1127 ] Northern end of grassy field                 
  29) [1128 ] A grassy field                               
  30) [1129 ] Southern end of grassy field                 
  31) [1130 ] Western end of grassy field                  
  32) [1131 ] Brandywine Bridge                            
  33) [1132 ] Delving Lane                                 
  34) [1133 ] Delving Lane                                 
  35) [1134 ] Delving Lane                                 
  36) [1135 ] Bag End                                      
  37) [1136 ] Bedroom                                      
  38) [1137 ] Pantry                                       
  39) [1138 ] A grassy field                               
  40) [1139 ] Pig pen                                      
  41) [1140 ] A stony path                                 
  42) [1141 ] Gamgee Residence                             
  43) [1142 ] A barn                                       
  44) [1143 ] A chicken coop                               
  45) [1144 ] The Green Dragon                             
  46) [1145 ] Shiriff Post of Delving Lane                 
  47) [1146 ] A dark tunnel                                
  48) [1147 ] A dark tunnel                                
  49) [1148 ] A dark tunnel                                
  50) [1149 ] A three way intersection                     
  51) [1150 ] End of a dark tunnel                         (3001)
  52) [1151 ] A dark tunnel                                
  53) [1152 ] A dark tunnel                                
  54) [1153 ] Shiriff Post of the Lower Shire              
  55) [1154 ] A halfling hole                              
  56) [1155 ] A halfling hole                              
  57) [1156 ] End of a dark tunnel                         

>[0;00m
[0mCHECKING: 12[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [1200 ] Halt!                                        (5037)
   2) [1201 ] Along the sandy pathway..                    
   3) [1202 ] On top of a sand dune                        
   4) [1203 ] Outside the Large Building                   
   5) [1204 ] Inside the Bunker - Main Lobby               
   6) [1205 ] The Control Tower                            
   7) [1206 ] Communications Room                          
   8) [1207 ] The Post Commander's Office                  
   9) [1208 ] Departure Zone / Arrival Area                [TRIG] 
  10) [1209 ] The Fuel Storage Room                        (5037)
  11) [1210 ] Inside the guardhouse                        
  12) [1211 ] The Mos Eisley Customs Office                
  13) [1212 ] Orleon Lane                                  
  14) [1213 ] Docking Bay 94                               
  15) [1214 ] The Mos Eisley Market Square                 
  16) [1215 ] The Spaceport Inn                            
  17) [1216 ] The Spaceport Inn - Managerial Office        
  18) [1217 ] A Small Alcove Full of Junk                  
  19) [1218 ] Lup's General Store                          
  20) [1219 ] Entrance to the Cantina                      
  21) [1220 ] Moisture Vaporator                           
  22) [1221 ] Orleon Lane                                  
  23) [1222 ] Docking Bay 86                               
  24) [1223 ] Docking Bay 86                               
  25) [1224 ] Docking Bay 86                               
  26) [1225 ] Orleon Lane                                  
  27) [1226 ] Docking Bay 87                               
  28) [1227 ] Docking Bay 87                               
  29) [1228 ] Orleon Lane                                  
  30) [1229 ] Tatooine Militia Headquarters                
  31) [1230 ] Tatooine Regional Government Offices         
  32) [1231 ] Orleon Lane                                  
  33) [1232 ] Inside the Cantina                           
  34) [1233 ] The Droid Detection Center                   
  35) [1234 ] Inside the Cantina                           
  36) [1235 ] The Power Room                               
  37) [1236 ] Among the Tables of the Cantina              
  38) [1237 ] Among the Tables of the Cantina              
  39) [1238 ] At a Large Booth                             
  40) [1239 ] Among the Tables of the Cantina              
  41) [1240 ] Among the Tables of the Cantina              
  42) [1241 ] Among the Tables of the Cantina              
  43) [1242 ] Among the Tables of the Cantina              
  44) [1243 ] Inside the Cantina                           
  45) [1244 ] Among the Tables of the Cantina              
  46) [1245 ] Among the Tables of the Cantina              
  47) [1246 ] Before a Booth                               
  48) [1247 ] Among the Tables of the Cantina              
  49) [1248 ] At the Bar                                   
  50) [1249 ] At the Bar                                   
  51) [1250 ] At the Bar                                   
